isJunior,lensColor,img,isFindInStore,isCustomizable,roxableLabel,brand,imgHover,isPolarized,colorsNumber,isOutOfStock,modelName,isEngravable,localizedColorLabel,name,listPrice,offerPrice
False,Polarized Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597529723__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597529723__002.png?impolicy=SGH_bgtransparent&width=640,True,5 colors,False,RB2198 Bill,False,Black/Green,RB2198 Bill,$213.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597077286__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597077286__002.png?impolicy=SGH_bgtransparent&width=640,False,12 colors,False,RB3548N HEXAGONAL FLAT LENSES,False,Gold/Blue,RB3548N HEXAGONAL FLAT LENSES,$178.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672611649__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672611649__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,RB3548N Hexagonal Flat Lenses,False,Gold/Green,RB3548N Hexagonal Flat Lenses,$163.00,
False,Clear Gradient Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597436090__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597436090__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,PR 14WS,False,Red/Brown,PR 14WS,$391.00,$273.70
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597371889__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597371889__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,DG4384,False,Black/Grey,DG4384,$290.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289206071__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289206071__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,RB4098 Jackie Ohh II,False,Black/Grey,RB4098 Jackie Ohh II,$178.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597168380__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597168380__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,BE4312 FRITH,False,Brown/Grey,BE4312 FRITH,$362.00,$253.40
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652090467__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652090467__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,GG0225S,False,Gold/Grey,GG0225S,$520.00,$364.00
False,Gradient Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597693202__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597693202__002.png?impolicy=SGH_bgtransparent&width=640,False,5 colors,False,RB2140 ORIGINAL WAYFARER BIO-ACETATE,False,Grey/Grey,RB2140 ORIGINAL WAYFARER BIO-ACETATE,$198.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289742463__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289742463__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,RB4171 Erika Classic,False,Black/Grey,RB4171 Erika Classic,$155.00,
