isJunior,lensColor,img,isFindInStore,isCustomizable,roxableLabel,brand,imgHover,isPolarized,colorsNumber,isOutOfStock,modelName,isEngravable,localizedColorLabel,name,listPrice,offerPrice
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641579__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641579__002.png?impolicy=SGH_bgtransparent&width=640,False,6 colors,False,RB3625 NEW AVIATOR,False,Black/Grey,RB3625 NEW AVIATOR,$163.00,
False,Dark Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597517065__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597517065__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,PR 06YS,False,Tortoise/Brown,PR 06YS,$433.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652047560__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652047560__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,GG0010S,False,Black/Grey,GG0010S,$405.00,
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392279958__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392279958__002.png?impolicy=SGH_bgtransparent&width=640,True,18 colors,False,OO9188 Flak® 2.0 XL,False,Black/Black,OO9188 Flak® 2.0 XL,$234.00,
False,Clear Gradient Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641821__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641821__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,RB3636 NEW CARAVAN,False,Gold/Blue,RB3636 NEW CARAVAN,$178.00,
False,Dark Blue Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626606__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626606__002.png?impolicy=SGH_bgtransparent&width=640,True,3 colors,False,RB4376,False,Grey/Blue,RB4376,$175.00,
False,Light Blue Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597445160__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597445160__002.png?impolicy=SGH_bgtransparent&width=640,False,7 colors,False,RB3565 JACK,False,Silver/Blue,RB3565 JACK,$178.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597445184__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597445184__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,RB3565 Jack,False,Gold/Green,RB3565 Jack,$163.00,
False,Prizm Sapphire Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392498441__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392498441__002.png?impolicy=SGH_bgtransparent&width=640,True,12 colors,False,OO9448 Sylas,False,Black/Blue,OO9448 Sylas,$190.00,
False,Orange,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672000511__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672000511__002.png?impolicy=SGH_bgtransparent&width=640,False,10 colors,False,RB3025 AVIATOR FLASH LENSES,False,Gold/Orange,RB3025 AVIATOR FLASH LENSES,$188.00,
