isjunior,lenscolor,img,isfindinstore,iscustomizable,roxablelabel,brand,imghover,ispolarized,colorsnumber,isoutofstock,modelname,isengravable,localizedcolorlabel,listprice,offerprice
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374183__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374183__002.png?impolicy=SGH_bgtransparent&width=640,False,9,False,RB3025 AVIATOR GRADIENT,False,Gold/Brown,188.00,
False,Prizm Rose Gold,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392588692__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392588692__002.png?impolicy=SGH_bgtransparent&width=640,False,9,False,OO4079 Feedback,False,Pink/Gold,200.00,
False,Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597489607__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597489607__002.png?impolicy=SGH_bgtransparent&width=640,False,7,False,RW4003 RAY-BAN STORIES | ROUND,False,Black/Green,299.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626583__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626583__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB4376,False,Black/Grey,155.00,
False,Pink,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392006851__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392006851__002.png?impolicy=SGH_bgtransparent&width=640,True,4,False,OO9191 Unstoppable,False,Black/Pink,213.00,
False,Orange,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672000511__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672000511__002.png?impolicy=SGH_bgtransparent&width=640,False,10,False,RB3025 AVIATOR FLASH LENSES,False,Gold/Orange,188.00,
False,Violet,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597517461__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597517461__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,PR 08YS,False,Tortoise/Violet,433.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392260550__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392260550__002.png?impolicy=SGH_bgtransparent&width=640,True,3,False,OO9301 Cohort,False,Black/Grey,212.00,
False,Brown Gradient Polar,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626682__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626682__002.png?impolicy=SGH_bgtransparent&width=640,True,5,False,RB2298 HAWKEYE,False,Gold/Brown,224.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672867107__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672867107__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB3716 Clubmaster Metal,False,Black/Grey,189.00,
